Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Engagement;Origen
jenniferherro;https://instagram.com/jenniferherro;2991;2003;-;pr;0.0%;FOLLOWING
realdesmondong;https://instagram.com/realdesmondong;23000;1394;-;trader;0.1%;FOLLOWING
regalpools;https://instagram.com/regalpools;90000;2043;-;-;0.0%;FOLLOWING
joel.therien;https://instagram.com/joel.therien;144000;2022;-;-;0.0%;FOLLOWING
kapustins;https://instagram.com/kapustins;155000;624;-;-;0.0%;FOLLOWING
andrewcordle;https://instagram.com/andrewcordle;152000;2111;-;architect;0.0%;FOLLOWING
thehannahingram;https://instagram.com/thehannahingram;147000;512;-;founder;0.04%;FOLLOWING
pena;https://instagram.com/pena;98000;1265;-;ceo;0.0%;FOLLOWING
gogosrealestate;https://instagram.com/gogosrealestate;91000;5395;-;ceo;0.18%;FOLLOWING
danielleleslie;https://instagram.com/danielleleslie;150000;338;-;speaker;0.48%;FOLLOWING
