Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Engagement;Origen
ghawktraining;https://instagram.com/ghawktraining;4970;488;-;coach;1.21%;dr.gunsandneedles
charlie_prom;https://instagram.com/charlie_prom;2956;3488;-;pr;0.54%;dr.gunsandneedles
jenniferangelancheta;https://instagram.com/jenniferangelancheta;3228;1114;-;model;2.79%;dr.gunsandneedles
injectorjeff;https://instagram.com/injectorjeff;8018;1376;-;medic;1.91%;dr.gunsandneedles
fahaha;https://instagram.com/fahaha;2369;1355;-;doctor;1.89%;dr.gunsandneedles
amysmithkeepsitreal;https://instagram.com/amysmithkeepsitreal;13000;2110;-;real estate;0.0%;dr.gunsandneedles
jimmysugi;https://instagram.com/jimmysugi;8609;226;-;-;0.0%;dr.gunsandneedles
carlchoi;https://instagram.com/carlchoi;4625;2905;-;-;0.0%;dr.gunsandneedles
_mimiis_;https://instagram.com/_mimiis_;5679;108;-;-;0.0%;dr.gunsandneedles
tingsong;https://instagram.com/tingsong;19000;2019;-;medic;1.02%;dr.gunsandneedles
myaestheticadvisor;https://instagram.com/myaestheticadvisor;5461;123;-;-;0.79%;dr.gunsandneedles
sushi_matsumoto;https://instagram.com/sushi_matsumoto;6126;942;-;-;0.0%;dr.gunsandneedles
coffeenutzz;https://instagram.com/coffeenutzz;12000;462;-;-;0.0%;dr.gunsandneedles
bougie_injector;https://instagram.com/bougie_injector;7701;1242;-;founder;2.06%;dr.gunsandneedles
apryledalmacio;https://instagram.com/apryledalmacio;4173;2036;-;pr;0.0%;dr.gunsandneedles
injectornp_z;https://instagram.com/injectornp_z;2806;179;-;injector;0.0%;dr.gunsandneedles
tringalihealth;https://instagram.com/tringalihealth;12000;1412;-;medic;1.32%;dr.gunsandneedles
the.dr.noura.alkhyeli;https://instagram.com/the.dr.noura.alkhyeli;14000;685;-;founder;0.0%;dr.gunsandneedles
jenrn_jenesysaesthetics;https://instagram.com/jenrn_jenesysaesthetics;4348;2647;-;-;0.0%;dr.gunsandneedles
ben_monarchaestheticservices;https://instagram.com/ben_monarchaestheticservices;4697;2400;-;pr;0.0%;dr.gunsandneedles
katie.the.injector;https://instagram.com/katie.the.injector;4605;807;-;speaker;0.74%;dr.gunsandneedles
renedeceuninck;https://instagram.com/renedeceuninck;2427;2113;-;speaker;0.0%;dr.gunsandneedles
amareaesthetics;https://instagram.com/amareaesthetics;11000;1399;-;-;0.46%;dr.gunsandneedles
steezynickel;https://instagram.com/steezynickel;2646;2029;-;fitness;0.0%;dr.gunsandneedles
toxbyrox;https://instagram.com/toxbyrox;14000;515;-;injector;2.26%;dr.gunsandneedles
longevityjournalist;https://instagram.com/longevityjournalist;4634;932;-;fitness;0.0%;dr.gunsandneedles
doc.ksloan;https://instagram.com/doc.ksloan;2329;775;-;coach;0.0%;dr.gunsandneedles
bigsky.beauty.nurse;https://instagram.com/bigsky.beauty.nurse;2251;267;-;injector;0.0%;dr.gunsandneedles
monarchaestheticservices;https://instagram.com/monarchaestheticservices;2250;581;-;-;0.0%;dr.gunsandneedles
drkatejameson;https://instagram.com/drkatejameson;15000;186;-;founder;0.0%;dr.gunsandneedles
theauricb;https://instagram.com/theauricb;72000;706;-;podcast;0.0%;dr.gunsandneedles
