Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Engagement;Origen
maritzagarcia.inc;https://instagram.com/maritzagarcia.inc;16000;1324;-;tax;0.0%;urbanizeproperties
mauricio.real.estate.miami;https://instagram.com/mauricio.real.estate.miami;2244;7585;-;real estate;0.33%;urbanizeproperties
1800callbigsteve;https://instagram.com/1800callbigsteve;8901;5413;-;-;2.95%;urbanizeproperties
mr.acq;https://instagram.com/mr.acq;4394;296;-;coach;0.0%;urbanizeproperties
johncardis;https://instagram.com/johncardis;12000;394;-;podcast;1.92%;urbanizeproperties
pedrosebasco;https://instagram.com/pedrosebasco;20000;2453;-;finance;0.9%;urbanizeproperties
vice_city_alejandro;https://instagram.com/vice_city_alejandro;3396;1930;-;fitness;0.0%;urbanizeproperties
dustin.miles;https://instagram.com/dustin.miles;2245;1270;-;entrepreneur;1.51%;urbanizeproperties
net_lease_king;https://instagram.com/net_lease_king;34000;290;-;ceo;0.95%;urbanizeproperties
josh_rone;https://instagram.com/josh_rone;2031;151;-;broker;0.0%;urbanizeproperties
realjakejames;https://instagram.com/realjakejames;22000;181;-;pr;0.09%;urbanizeproperties
brianmorillog;https://instagram.com/brianmorillog;3178;2643;-;fitness;0.0%;urbanizeproperties
devanajohnson;https://instagram.com/devanajohnson;7564;2003;-;broker;0.0%;urbanizeproperties
swallowtailranch;https://instagram.com/swallowtailranch;2367;194;#bethesource;-;0.0%;urbanizeproperties
javierdaire;https://instagram.com/javierdaire;9316;332;-;-;2.74%;urbanizeproperties
makeyourmoveorlando;https://instagram.com/makeyourmoveorlando;16000;100;-;real estate;0.2%;urbanizeproperties
yinka_majek.cpa;https://instagram.com/yinka_majek.cpa;4045;279;-;cpa;0.0%;urbanizeproperties
d_buyshouses;https://instagram.com/d_buyshouses;2214;591;-;-;0.0%;urbanizeproperties
ceo929;https://instagram.com/ceo929;24000;3633;-;ceo;0.0%;urbanizeproperties
cultivatepr;https://instagram.com/cultivatepr;6886;449;-;pr;0.0%;urbanizeproperties
tri2onecoach;https://instagram.com/tri2onecoach;3834;2998;-;coach;0.95%;urbanizeproperties
jjsimmonsverylight;https://instagram.com/jjsimmonsverylight;18000;6179;-;real estate;0.0%;urbanizeproperties
omarito;https://instagram.com/omarito;24000;2212;-;broker;0.42%;urbanizeproperties
frenchylive;https://instagram.com/frenchylive;8287;1536;-;pr;0.19%;urbanizeproperties
nicksproulsells;https://instagram.com/nicksproulsells;2288;531;-;real estate;1.84%;urbanizeproperties
chrispardodesign;https://instagram.com/chrispardodesign;14000;12000;-;architect;0.43%;urbanizeproperties
a_scandariato;https://instagram.com/a_scandariato;3284;458;-;podcast;2.49%;urbanizeproperties
nicklamagnainvest;https://instagram.com/nicklamagnainvest;23000;3068;-;podcast;0.0%;urbanizeproperties
zach.hoereth;https://instagram.com/zach.hoereth;2016;296;-;real estate;0.0%;urbanizeproperties
lauraguirall;https://instagram.com/lauraguirall;6434;864;-;pr;1.09%;urbanizeproperties
djangodegree;https://instagram.com/djangodegree;20000;1713;-;dj;0.0%;urbanizeproperties
francissuarez;https://instagram.com/francissuarez;172000;3283;-;pr;0.0%;urbanizeproperties
themove.miami;https://instagram.com/themove.miami;19000;454;-;podcast;0.0%;urbanizeproperties
kenmcelroyofficial;https://instagram.com/kenmcelroyofficial;78000;2782;-;podcast;0.07%;urbanizeproperties
aishah.mo;https://instagram.com/aishah.mo;23000;307;-;-;0.0%;urbanizeproperties
profilemiami;https://instagram.com/profilemiami;34000;2639;-;real estate;0.25%;urbanizeproperties
luigi305i;https://instagram.com/luigi305i;32000;275;-;realtor;0.0%;lexlevinrad
hellyhansensailing;https://instagram.com/hellyhansensailing;35000;742;-;pr;0.52%;lexlevinrad
theemilykinzer;https://instagram.com/theemilykinzer;6276;872;-;-;0.0%;lexlevinrad
gillmarine;https://instagram.com/gillmarine;45000;2006;-;pr;0.38%;lexlevinrad
harken_inc;https://instagram.com/harken_inc;44000;1121;-;pr;0.1%;lexlevinrad
sebastianmiamibeachh;https://instagram.com/sebastianmiamibeachh;9924;264;-;pr;0.0%;lexlevinrad
timesofisrael;https://instagram.com/timesofisrael;200000;8525;-;-;0.02%;lexlevinrad
realmikehambright;https://instagram.com/realmikehambright;92000;2999;-;real estate;0.0%;lexlevinrad
billy_alvaro_unstoppable;https://instagram.com/billy_alvaro_unstoppable;8269;320;-;coach;0.08%;lexlevinrad
esther_marie;https://instagram.com/esther_marie;3445;253;-;-;2.09%;lexlevinrad
sailingnahoa;https://instagram.com/sailingnahoa;66000;223;-;-;1.06%;lexlevinrad
aipac;https://instagram.com/aipac;126000;7153;-;pr;0.14%;lexlevinrad
rudy.unlimited;https://instagram.com/rudy.unlimited;2648;754;-;real estate;0.0%;lexlevinrad
