Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Engagement;Origen
getintoai;https://instagram.com/getintoai;187000;1429;-;Tecnología & Software;0.06%;doctorsterling
michelle.1;https://instagram.com/michelle.1;140000;347;-;Negocios & Emprendimiento;0.0%;doctorsterling
laylabenitez;https://instagram.com/laylabenitez;204000;510;-;Tecnología & Software;1.08%;doctorsterling
paultelostory;https://instagram.com/paultelostory;185000;538;-;Educación & Coaching;0.0%;doctorsterling
sirintalbot;https://instagram.com/sirintalbot;174000;501;-;Salud & Medicina;0.0%;doctorsterling
jehonadreshaj_;https://instagram.com/jehonadreshaj_;207000;137;-;-;1.89%;doctorsterling
coryg_;https://instagram.com/coryg_;139000;235;-;Lifestyle, Fitness & Food;0.43%;doctorsterling
alessia.vernazza;https://instagram.com/alessia.vernazza;136000;299;-;Negocios & Emprendimiento;0.0%;doctorsterling
krista.stevenss;https://instagram.com/krista.stevenss;114000;577;-;Lifestyle, Fitness & Food;0.28%;doctorsterling
daveyfisher;https://instagram.com/daveyfisher;181000;1261;-;Marketing & Ventas;0.52%;doctorsterling
bea_guti11;https://instagram.com/bea_guti11;164000;605;-;Tecnología & Software;0.44%;doctorsterling
nickyecker;https://instagram.com/nickyecker;127000;404;-;Real Estate & Arquitectura;0.0%;doctorsterling
lovexbriana;https://instagram.com/lovexbriana;116000;234;-;Marketing & Ventas;0.99%;doctorsterling
thealannagold;https://instagram.com/thealannagold;139000;111;-;Lifestyle, Fitness & Food;0.0%;doctorsterling
michelecappelletti92;https://instagram.com/michelecappelletti92;104000;2807;-;Tecnología & Software;1.84%;doctorsterling
minamoves_;https://instagram.com/minamoves_;361000;729;-;Negocios & Emprendimiento;0.0%;doctorsterling
pompglobal;https://instagram.com/pompglobal;144000;2136;-;Negocios & Emprendimiento;0.15%;doctorsterling
ryantseko;https://instagram.com/ryantseko;379000;2100;-;Real Estate & Arquitectura;0.0%;doctorsterling
carlafeelgood;https://instagram.com/carlafeelgood;160000;504;-;Negocios & Emprendimiento;0.0%;doctorsterling
erikawheaton;https://instagram.com/erikawheaton;449000;979;-;Tecnología & Software;0.14%;doctorsterling
celebutonstyle;https://instagram.com/celebutonstyle;148000;636;-;Negocios & Emprendimiento;0.43%;doctorsterling
supersnake;https://instagram.com/supersnake;309000;1059;-;Arte & Creatividad;1.82%;doctorsterling
georgieflores;https://instagram.com/georgieflores;142000;358;-;-;0.19%;doctorsterling
garylipovetsky;https://instagram.com/garylipovetsky;101000;2899;-;Negocios & Emprendimiento;0.0%;doctorsterling
audrey_orem;https://instagram.com/audrey_orem;153000;676;-;Creadores & Influencers;0.0%;doctorsterling
msjennawillis;https://instagram.com/msjennawillis;108000;2070;-;Marketing & Ventas;0.0%;doctorsterling
isarahbutler;https://instagram.com/isarahbutler;150000;207;-;-;0.0%;doctorsterling
bohnes;https://instagram.com/bohnes;243000;3171;-;Negocios & Emprendimiento;1.13%;doctorsterling
yankeekicks;https://instagram.com/yankeekicks;327000;1650;-;Finanzas & Inversiones;0.92%;doctorsterling
gailgenslerofficial;https://instagram.com/gailgenslerofficial;100000;913;-;Marketing & Ventas;0.0%;doctorsterling
shiasilva;https://instagram.com/shiasilva;186000;631;-;Moda & Belleza;1.45%;doctorsterling
tonythomassports;https://instagram.com/tonythomassports;374000;6608;-;Tecnología & Software;0.39%;doctorsterling
hi.cass;https://instagram.com/hi.cass;403000;980;-;Arte & Creatividad;0.0%;doctorsterling
