Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Engagement;Origen
rowancheung;https://instagram.com/rowancheung;229000;297;-;ceo;0.0%;dr.gunsandneedles
dr_miray;https://instagram.com/dr_miray;14000;309;-;medic;0.57%;dr.gunsandneedles
brucefashion1998;https://instagram.com/brucefashion1998;210000;1686;-;fashion;0.06%;dr.gunsandneedles
shinobay;https://instagram.com/shinobay;120000;9881;-;dermatologist;0.32%;dr.gunsandneedles
karlcheung10;https://instagram.com/karlcheung10;43000;601;-;-;1.21%;dr.gunsandneedles
dr.thuydoan;https://instagram.com/dr.thuydoan;99000;737;-;medic;1.01%;dr.gunsandneedles
adamhunter;https://instagram.com/adamhunter;162000;2311;-;pr;0.77%;dr.gunsandneedles
leilaciancaglinitv;https://instagram.com/leilaciancaglinitv;94000;4265;-;model;0.07%;dr.gunsandneedles
sabrina.fabi;https://instagram.com/sabrina.fabi;76000;1892;-;founder;0.07%;dr.gunsandneedles
luwangdaqingnian;https://instagram.com/luwangdaqingnian;135000;265;-;-;0.0%;dr.gunsandneedles
melaniewhitney_;https://instagram.com/melaniewhitney_;52000;873;-;coach;0.21%;dr.gunsandneedles
thetastyfoods;https://instagram.com/thetastyfoods;78000;304;-;-;0.0%;dr.gunsandneedles
cocospark.official;https://instagram.com/cocospark.official;47000;447;-;-;0.0%;dr.gunsandneedles
drwalterjoseph;https://instagram.com/drwalterjoseph;51000;352;-;podcast;0.0%;dr.gunsandneedles
dr_mj_smileworks;https://instagram.com/dr_mj_smileworks;41000;1471;-;-;0.0%;dr.gunsandneedles
pastabarla;https://instagram.com/pastabarla;24000;359;-;-;0.42%;dr.gunsandneedles
drsejmd;https://instagram.com/drsejmd;202000;3839;-;md;0.02%;dr.gunsandneedles
professorsebastiancotofana;https://instagram.com/professorsebastiancotofana;165000;342;-;speaker;0.46%;dr.gunsandneedles
ambaleficent;https://instagram.com/ambaleficent;137000;131;-;-;1.52%;dr.gunsandneedles
kenpaves;https://instagram.com/kenpaves;200000;1458;-;founder;0.0%;dr.gunsandneedles
farokh;https://instagram.com/farokh;188000;620;-;pr;0.53%;dr.gunsandneedles
dr.subbio;https://instagram.com/dr.subbio;231000;1810;-;-;0.48%;dr.gunsandneedles
pa_nicola;https://instagram.com/pa_nicola;118000;1584;#anatomysunday;founder;0.0%;dr.gunsandneedles
dolcevidamedicalspa;https://instagram.com/dolcevidamedicalspa;17000;2176;-;medic;0.26%;dr.gunsandneedles
drryanstanton;https://instagram.com/drryanstanton;41000;893;-;surgeon;0.28%;dr.gunsandneedles
injectorhoney;https://instagram.com/injectorhoney;49000;1502;-;injector;0.0%;dr.gunsandneedles
unifydhealing;https://instagram.com/unifydhealing;122000;608;-;tech;0.45%;dr.gunsandneedles
mixiue;https://instagram.com/mixiue;82000;207;-;software;0.0%;dr.gunsandneedles
davenickdaily;https://instagram.com/davenickdaily;174000;262;-;-;0.0%;dr.gunsandneedles
drstevendayan;https://instagram.com/drstevendayan;83000;2831;-;cto;0.0%;dr.gunsandneedles
chdermatologia;https://instagram.com/chdermatologia;149000;1560;-;md;0.0%;dr.gunsandneedles
aguasurfibiza;https://instagram.com/aguasurfibiza;4922;103;-;-;0.0%;drsuleymantas
dr.hichemahmoud;https://instagram.com/dr.hichemahmoud;9225;436;-;surgeon;0.18%;drsuleymantas
dr.mohamed_mahgoub;https://instagram.com/dr.mohamed_mahgoub;23000;424;-;consultant;0.0%;drsuleymantas
darbyirl_;https://instagram.com/darbyirl_;11000;575;-;ceo;1.6%;drsuleymantas
dr_juanquintero;https://instagram.com/dr_juanquintero;4238;1034;-;-;2.55%;drsuleymantas
serginni_777;https://instagram.com/serginni_777;13000;447;-;-;0.0%;drsuleymantas
dr.amina__kurbanova1;https://instagram.com/dr.amina__kurbanova1;3268;352;-;-;0.0%;drsuleymantas
drjoaoiorra;https://instagram.com/drjoaoiorra;3722;377;-;-;1.3%;drsuleymantas
marinamedical;https://instagram.com/marinamedical;7558;787;-;medic;0.78%;drsuleymantas
flawless_aesthetic__;https://instagram.com/flawless_aesthetic__;5307;1028;-;surgeon;0.16%;drsuleymantas
drgarlick;https://instagram.com/drgarlick;15000;534;-;surgeon;0.0%;drsuleymantas
drmelekipekkir;https://instagram.com/drmelekipekkir;3549;141;-;-;0.0%;drsuleymantas
drchaudhrymd;https://instagram.com/drchaudhrymd;5852;1248;-;surgeon;0.35%;drsuleymantas
albomedical;https://instagram.com/albomedical;5205;426;-;medic;0.02%;drsuleymantas
alejandrojimenez.md;https://instagram.com/alejandrojimenez.md;26000;654;-;cirujano;0.05%;drsuleymantas
dr.donaev;https://instagram.com/dr.donaev;10000;377;-;-;0.0%;drsuleymantas
drgeorgebitar;https://instagram.com/drgeorgebitar;6605;531;-;speaker;0.21%;drsuleymantas
nycfaceliftmastercourse;https://instagram.com/nycfaceliftmastercourse;2885;151;-;pr;0.0%;drsuleymantas
dr.xaviermorales;https://instagram.com/dr.xaviermorales;3099;203;-;cirujano;0.0%;drsuleymantas
dr.nuribattal;https://instagram.com/dr.nuribattal;86000;2429;-;surgeon;0.0%;drsuleymantas
siberatay;https://instagram.com/siberatay;46000;658;-;-;0.0%;drsuleymantas
iamaniljoshi;https://instagram.com/iamaniljoshi;13000;135;-;fitness;1.17%;drsuleymantas
drmichaelkim;https://instagram.com/drmichaelkim;21000;734;-;surgeon;1.15%;drsuleymantas
draestheticmed;https://instagram.com/draestheticmed;4629;341;-;surgeon;0.0%;drsuleymantas
healinghypnosis_1111;https://instagram.com/healinghypnosis_1111;8358;239;-;therapist;0.0%;drsuleymantas
doctorvyas;https://instagram.com/doctorvyas;8190;870;-;surgeon;1.48%;drsuleymantas
drsaadmd;https://instagram.com/drsaadmd;13000;911;-;surgeon;0.0%;drsuleymantas
fabobsessed;https://instagram.com/fabobsessed;8784;315;-;ceo;1.36%;drsuleymantas
mariomendanha_academia;https://instagram.com/mariomendanha_academia;9050;383;-;surgeon;1.24%;drsuleymantas
kemercountryclub;https://instagram.com/kemercountryclub;30000;1572;-;-;0.0%;drsuleymantas
marlee_lauren;https://instagram.com/marlee_lauren;5159;2027;-;artist;0.0%;drsuleymantas
goncakarakas;https://instagram.com/goncakarakas;30000;812;-;ceo;1.57%;drsuleymantas
leeds_privatehospital;https://instagram.com/leeds_privatehospital;24000;212;-;pr;0.0%;drsuleymantas
dr.garenjando;https://instagram.com/dr.garenjando;4301;214;-;surgeon;0.3%;drsuleymantas
lifthospital;https://instagram.com/lifthospital;11000;256;-;-;0.53%;drsuleymantas
drnuricelik;https://instagram.com/drnuricelik;3501;532;-;surgeon;0.0%;drsuleymantas
drtugantezcaner;https://instagram.com/drtugantezcaner;7900;292;-;medic;1.09%;drsuleymantas
baltoplasticsurgery;https://instagram.com/baltoplasticsurgery;33000;1511;-;surgeon;0.0%;drsuleymantas
parvizibeauty;https://instagram.com/parvizibeauty;6820;217;-;-;0.0%;drsuleymantas
dr.danielcifuentes;https://instagram.com/dr.danielcifuentes;13000;542;-;medic;0.28%;drsuleymantas
ecomdoc;https://instagram.com/ecomdoc;85000;872;-;consultant;0.0%;drsuleymantas
dr.eminayduran;https://instagram.com/dr.eminayduran;20000;2460;-;-;0.67%;drsuleymantas
drzubeyirorter;https://instagram.com/drzubeyirorter;3197;1043;-;surgeon;0.11%;drsuleymantas
peakofdubai;https://instagram.com/peakofdubai;29000;609;-;-;0.0%;drsuleymantas
dr.chepezubov;https://instagram.com/dr.chepezubov;10000;1347;-;-;0.11%;drsuleymantas
alla_amorcita;https://instagram.com/alla_amorcita;3221;203;-;-;0.0%;drsuleymantas
aicpe;https://instagram.com/aicpe;3951;373;-;-;0.0%;drsuleymantas
dr.marcoleon;https://instagram.com/dr.marcoleon;49000;222;-;medic;0.0%;drsuleymantas
elitereece;https://instagram.com/elitereece;82000;1130;-;influencer;0.0%;drsuleymantas
keri_fessler;https://instagram.com/keri_fessler;2543;1321;-;ceo;0.0%;drsuleymantas
ozieglermd;https://instagram.com/ozieglermd;5002;480;-;surgeon;0.62%;drsuleymantas
bugrahancayir;https://instagram.com/bugrahancayir;20000;1136;-;-;1.49%;drsuleymantas
