Usuario;URL;Seguidores;Publicaciones;Estado
villadelbalbianello;https://instagram.com/villadelbalbianello;150627;1918;CUMPLE REQ
kmaher56;https://instagram.com/kmaher56;48644;3353;CUMPLE REQ
bigsurriverinn;https://instagram.com/bigsurriverinn;51952;1375;CUMPLE REQ
